,Name,Address,Price,Bed,Baths
0,706 Summerlea Street,"706 Summerlea St, Pittsburgh, PA 15232, USA",1695,2,2
1,255-259 Shady Avenue,"255 Shady Ave, Pittsburgh, PA 15206, USA",1495,1,1
2,730 S. Negley Avenue,"730 S Negley Ave, Pittsburgh, PA 15232, USA",995-1395,,
3,5603 Fair Oaks Apt # 2,"5603 Fair Oaks St, Pittsburgh, PA 15217, USA",1075,1,1
4,430 Shady Avenue,"430 Shady Ave, Pittsburgh, PA 15206, USA",2195,2,2
5,434 Shady Avenue,"434 Shady Ave, Pittsburgh, PA 15206, USA",1340,1,1
6,1927 Murray Avenue Apt # 11,"1927 Murray Ave, Pittsburgh, PA 15217, USA",1295,1,1
7,1927 Murray Avenue #31,"1927 Murray Avenue, Pittsburgh, PA 15217, USA",1450,1,1
8,1653 Chislett Street,"1647 Chislett St, Pittsburgh, PA 15206, USA",1850,3,1
9,1647 Chislett Street,"1647 Chislett St, Pittsburgh, PA 15206, USA",1850,3,1
10,1333 Shady Avenue,"1333 Shady Ave, Pittsburgh, PA 15217, USA",1995,3,1.5
