,Name,Address,Price,Bed,Baths,Latitude,Longitude,Area
0,706 Summerlea Street,"706 Summerlea St, Pittsburgh, PA 15232, USA",1695,2,2,40.4533985,-79.9309727,Shadyside
1,255-259 Shady Avenue,"255 Shady Ave, Pittsburgh, PA 15206, USA",1495,1,1,40.4577133,-79.9220249,Shadyside
2,730 S. Negley Avenue,"730 S Negley Ave, Pittsburgh, PA 15232, USA",995-1395,,,40.45234,-79.9315234,Shadyside
3,5603 Fair Oaks Apt # 2,"5603 Fair Oaks St, Pittsburgh, PA 15217, USA",1075,1,1,40.4459712,-79.9284024,Squirrel hill
4,430 Shady Avenue,"430 Shady Ave, Pittsburgh, PA 15206, USA",2195,2,2,40.4548199,-79.92225,Shadyside
5,434 Shady Avenue,"434 Shady Ave, Pittsburgh, PA 15206, USA",1340,1,1,40.4546122,-79.9221253,Shadyside
6,1927 Murray Avenue Apt # 11,"1927 Murray Ave, Pittsburgh, PA 15217, USA",1295,1,1,40.435206,-79.9227078,Squirrel hill
7,1927 Murray Avenue #31,"1927 Murray Avenue, Pittsburgh, PA 15217, USA",1450,1,1,40.435206,-79.9227078,Squirrel hill
8,1653 Chislett Street,"1647 Chislett St, Pittsburgh, PA 15206, USA",1850,3,1,40.4836911,-79.9275003,Morningside
9,1647 Chislett Street,"1647 Chislett St, Pittsburgh, PA 15206, USA",1850,3,1,40.4836911,-79.9275003,Morningside
10,1333 Shady Avenue,"1333 Shady Ave, Pittsburgh, PA 15217, USA",1995,3,1.5,40.4447968,-79.9205214,Squirrel hill
